abdomen -minal abdominal
cicatrice -trize cicatrize
circulate -ation circulation
circumsize -cision circumcision
clairvoyance -ant clairvoyant
cleave -age cleavage
cohere -ence coherence
cohere -ent coherent
combustible -bility combustibility
compatible -bility compatibility
concierge -rie conciergerie
cross-eye -eyed cross-eyed
cumulate -ative cumulative
death-struggle -throes death-throes
debate -able debatable
defense -ive defensive
define -able definable
dependence -y dependency
determine -able determinable
determine -ant determinant
determine -d determined
determine -ism determinism
determine -ist determinist
dissolve -able dissolvable
dissyllable -bic dissyllabic
enormous -mity enormity
entomology -gist entomologist
esparto -grass esparto grass
especial -ly especially
essay -ist essayist
ethnology -gist ethnologist
explore -r explorer
extremity -ties extremities
eyelet -hole eyehole
fir -tree fir-tree
fold -ing-seat folding seat
gallant -try gallantry
gay -iety gaiety
gondola -lier gondolier
grand -sire grand-sire
gray -ish grayish
grease -y greasy
gum -arabic gum arabic
hackney -carriage hackney carriage
hers -self herself
hesitate -tant hesitant
heterogeneous -genity heterogenity
hostility -ties hostilities
hypocrite -ical hypocritical
illegible -bility illegibility
imperceptible -bly imperceptibly
imprecate -cation imprecation
impressionism -ist impressionist
imprudence -dent imprudent
impudence -dent impudent
infant -e infante
infertile -tility infertility
innovate -ion innovation
intensify -ing intensifying
intrigue -guing intriguing
intrusion -sive intrusive
intuition -tive intuitive
Jansenism -ist Jansenist
Jansenism -istic Jansenistic
Jesuit -itical Jesuitical
Jew -wry Jewry
juice -ey juicey
larding -needle larding needle
latania -palm latania palm
Latin -inity Latinity
legal -ality legality
lexicology -gist lexicologist
loving -kindness loving-kindness
lumbar -region lumbar region
Machiavel-ian -ism Machiavelianism
maggot -ty maggoty
magnify -ing magnifying
mail -steamer mail steamer
mealy -mouthed mealy-mouthed
merry -making merry-making
metaphysical -ian metaphysician
meteorologic -ist meteorologist
meteorologic -y meteorology
Methodism -ist Methodist
mineralogical -ist mineralogist
mineralogical -y mineralogy
misanthrope -ic misanthropic
misanthrope -y misanthropy
modification -tive modificative
monosyllabic -le monosyllable
multi-colored -coloured multi-coloured
munificence -cent munificent
-ness -ness -ness
opthalmia -mic opthalmic
opportune -ness opportuneness
orthography -phic orthographic
orthopteran -ous orthopterous
parenthesis -thetical parenthetical
passable -bly passably
patent -tee patentee
patristic -ics patristics
pebble -bly pebbly
perfidious -dy perfidy
peril -lous perilous
periodical -odicity periodicity
permanence -nent permanent
persuasion -sive persuasive
pertinacious -acity pertinacity
petulance -ant petulant
philanthropic -ist philanthropist
philanthropic -y philanthropy
philatelic -ist philatelist
philatelic -y philately
philhellenic -ist philhellenist
philosopher -phical philosophical
philosopher -phize philosophize
philosopher -phy philosophy
phosphorescence -cent phosphorescent
physiological -ist physiologist
physiological -y physiology
pineapple -plant pineapple plant
plagiarism -rist plagiarist
plethora -ric plethoric
poet -aster poetaster
polyandrous -y polyandry
polyandrous -ia polyandria
polygamous -ist polygamist
polygamous -y polygamy
polysyllabic -le polysyllable
pontiff -ate pontifficate
pornographic -phy pornography
portrait -ure portraiture
positivism -vist positivist
precursor -ory precursory
prince -ess princess
probable -bly probably
proletarian -riat proletariat
prone -ness proneness
pry -ing prying
psychological -gist psychologist
puerile -ility puerility
pugilism -list pugilist
purify -ing purifying
pusillanimity -mous pusillanimous
putrefy -fied putrefied
rabbi -nical rabbinical
radical -ism radicalism
radio -telephone radiotelephone
rag -ged ragged
rail -ing railing
rake -ish rakeish
rancid -ity rancidity
ranco -ous rancoous
rapid -ity: rapidity:
rapid - rapid
rapt -ure rapture
rare -faction rarefaction
rare -fy rarefy
rare -ly rarely
rascal -ity rascality
rascal -ly rascally
rash -ness rashness
ravish -ing ravishing
raze -d razed
react -ion reaction
react -ive: reactive:
react - react
read -able readable
realist -ic realistic
reap -er reaper
reason -ing reasoning
recapitulate -tory recapitulatory
recommend -able recommendable
recommend -ation recommendation
reconcile -ment reconcilement
recover -y recovery
recriminate -tory recriminatory
rectangle -gular rectanglegular
rector -y rectory
rector -ship rectorship
recur -rent recurrent
recur -ing recuring
reform -ation reformation
reform -ist reformist
reform -atory reformatory
refute -tation refutation
regenerate -tion regeneration
regress -ive regressive
regret -ful regretful
regret -table regrettable
reign -ing reigning
reinforce -ment reinforcement
reiterate -tion reiteration
reject -able rejectable
reject -ion rejection
rejuvenate -tion rejuvenation
relation -ship relationship
religious -ness religiousness
relish -able relishable
remark -able remarkable
remind -er reminder
remorse -ful remorseful
remorse -less remorseless
remount -ing remounting
remuneration -tive remunerationtive
renew -al renewal
renew -able renewable
renown -ed renowned
rent -er renter
repair -able repairable
repeat -ed repeated
repel -lent repellent
repent -ance repentance
repent -ant repentant
repercuss -ion repercussion
replete -tion repletion
report -ed reported
repress -ive repressive
reproach -ful reproachful
republic -an republican
republic -anism republicanism
require -ment requirement
resent -ful resentful
resent -ment resentment
residence -cy residency
resin -ous resinous
resist -ance resistance
resist -less resistless
resound -ing resounding
respective -ly respectively
restrict -ive restrictive
result -ant resultant
result -ing resulting
retail -er retailer
retain -ing retaining
retain -ing retaining
retain -ers retainers
retaliate -tory retaliatory
retire -ing retiring
retroact -ion retroaction
retroact -ive retroactive
retrospect -ive retrospective
revenge -ful revengeful
revenge -er revenger
reversion -ary reversionary
review -er reviewer
revival -ist revivalist
rhetoric -al rhetorical
rhetoric -ian rhetorician
rhythm -ic rhythmic
rich -es riches
rickets -ety ricketsety
ridicule -lous ridiculous
righteous -ness righteousness
rigid -ity rigidity
rigo -ous rigoous
rim -med rimmed
riot -er rioter
riot -ous riotous
ripe -en ripen
ripple -pling ripplepling
risk -y risky
ritual -ist ritualist
ritual -istic ritualistic
rive -n riven
road -way roadway
road -stead roadstead
robber -y robbery
roe -buck roebuck
rogue -ry roguery
Roman -ism Romanism
roof -ed roofed
root -ed rooted
root -let rootlet
rotund -ity rotundity
rove -ing roving
royal -ist royalist
royal -ism royalism
royal -ty royalty
rudiment -ary rudimentary
ruffian -ly ruffianly
ruin -ation ruination
ruin -ous ruinous
rune -nic runic
rust -y rusty
rustic -ity rusticity
sacerdotal -ism sacerdotalism
sacrament -al sacramental
sacrilege -gious sacrilegious
sad -ness sadness
saint -liness saintliness
saliva -ry salivary
salt -ed salted
same -ness sameness
sapphire -colo sapphirecolo
sargass -um sargassum
Satan -ic Satanic
satire -rical satirical
satire -ist satirist
satire -ize satireize
satisfy -ing satisfing
scald -ing scalding
scarify -fication scarifyfication
scatter -ing scattering
scatter -ings scatterings
sceptic -alness scepticalness
sceptic -ism scepticism
schema -tize schematize
schism -atic schismatic
scholar -like scholarlike
scholar -ly scholarly
scholar -ship scholarship
scholastic -ism scholasticism
sciatic -a sciatica
scintillate -ting scintillating
scintillate -tion scintillation
scoff -er scoffer
scoff -ing scoffing
scorch -ing scorching
scorn -ful scornful
scowl -ing scowling
Scripture -ral Scriptural
scrofula -ous scrofulaous
scruple -lous scruplous
sculpture -ural sculptureural
sculpture -tor sculpturetor
scurrility -lous scurrilitylous
seal -ing sealing
seam -ed seamed
sear -ed seared
search -ing searching
seasick -ness seasickness
season -able seasonable
season -ed seasoned
season -ing seasoning
secret -ly secretly
secretary -ship secretaryship
secrete -tion secretion
secrete -tory secretory
sect -arian sectarian
section -al sectional
secular -ize secularize
sedate -ness sedateness
sedition -ious seditionious
seduction -tive seductiontive
seethe -ing seething
select -tion selecttion
select -ed selected
select -ness selectness
self-conceit -ed self-conceited
selfish -ness selfishness
self-possessed -sion self-possessedsion
sell -er seller
senator -ship senatorship
senator -ial senatorial
senescence -cent senescencent
senile -lity senility
senior -ity seniority
sensation -al sensational
sensual -ism sensualism
sensual -ist sensualist
sensual -ity sensuality
sentiment -al sentimental
sentiment -ality sentimentality
separate -ly separately
separate -ting separating
separate -tion separation
sequestar -ed sequestared
seraph -ic seraphic
serene -nity serenity
serf -dom serfdom
serious -ness seriousness
sermon -ize sermonize
servile -lity servility
seven -fold sevenfold
seven -teen seventeen
seven -th seventh
seven -ty seventy
several -ly severally
severe -ity severity
sex -less sexless
sexual -ity sexuality
shallow -s shallows
shape -ly shapely
sheep -fold sheepfold
shelter -less shelterless
shift -ing shifting
shift -less shiftless
shock -ing shocking
shoe -lachet shoelachet
shortsighted -ness shortsightedness
shrew -ish shrewish
shrew -ishness shrewishness
shrink -age shrinkage
shrub -bery shrubbery
sibyl -line sibylline
sick -ish sickish
sicken -ing sickening
sift -er sifter
silk -en silken
similar -ity similarity
simplify -fication simplifyfication
sincere -ly sincerely
sincere -rity sincerity
sinew -y sinewy
singular -ity singularity
sire -s. sires.
six -th sixth
skate -ter skater
skate -ting skating
sketch -y sketchy
skirmish -er skirmisher
slander -er slanderer
slander -ous slanderous
slang -y slangy
slattern -ly slatternly
slave -er slaver
slave -ry slavery
slave -ish slaveish
sled -ge sledge
sleek -y sleeky
sleep -y sleepy
sleigh -ing sleighing
slight -ly slightly
slime -my slimy
slope -ping sloping
sloth -ful slothful
sloven -ly slovenly
small -ness smallness
smelt -er smelter
smile -ling smiling
smirk -ing smirking
smith -y smithy
smoke -less smokeless
smoke -er smoker
smoke -y smokey
smoke -iness smokeiness
smooth -ness smoothness
smoulder -ing smouldering
-r -r -rr
smut -ty smutty
snap -py snappy
snap -pish snappish
sneer -ing sneering
snob -bish snobbish
snob -bery snobbery
snore -er snorer
snot -ty snotty
snow -y snowy
soak -ing soaking
sober -ing sobering
socialist -ic socialistic
soda -water sodawater
soldier -like soldierlike
soldier -ly soldierly
soldier -y soldiery
solemn -ize solemnize
solicit -ous solicitous
solicit -or solicitor
solicit -ude solicitude
solid -ity solidity
solid -ify solidify
solo -ist soloist
somnambulistic -ist somnambulisticist
somnambulistic -ism somnambulisticism
sonnet -teer sonnetteer
soot -y sooty
soothe -thing soothething
sophist -ical sophistical
sore -ness soreness
sorrow -ful sorrowful
sort -er sorter
sot -tish sottish
soup -tureen souptureen
south -erly southerly
spasm -modic spasmmodic
speak -er speaker
speak -ing speaking
speak -ing speaking
speak -ing speaking
special -ist specialist
special -ity speciality
special -ize specialize
special -ly specially
specific -ally specifically
specter -tral spectertral
speculate -tion speculation
speculate -tive speculative
speculate -tive speculative
speech -ify speechify
speech -less speechless
speed -y speedy
spell -er speller
spell -ing spelling
spice -cy spicy
spider -web spiderweb
spiritual -ist spiritualist
spiritual -ity spirituality
spiritual -ize spiritualize
spite -ful spiteful
spleen -etic spleenetic
splice -cing splicing
spoliate -tion spoliation
sponge -gy spongy
spoon -ful spoonful
spot -less spotless
spot -ted spotted
spot -ty spotty
spring -y springy
sprinkle -ed sprinkled
sprinkle -ler sprinkler
spy -ing sping
squall -ly squallly
squall -ing squalling
stain -less stainless
stalk -er stalker
star -red starred
starch -y starchy
startle -ling startling
starve -ving starving
statesman -ship statesmanship
statistic -al statistical
statistic -ian statistician
statue -esque statueesque
statute -tory statutory
steel -ly steelly
stenographer -phic stenographerphic
stenographer -phy stenographerphy
stentor -ian stentorian
sterile -lity sterility
sterile -lize sterilize
sterile -lizer sterilizer
steward -ess stewardess
stiff -ness stiffness
stigma -tize stigmatize
still -ness stillness
sting -ing stinging
stink -ing stinking
stipend -iary stipendiary
stipulate -tion stipulation
stoic -cism stoiccism
stolid -ity stolidity
stomach -ic stomachic
stoop -ing stooping
stop -per stopper
storey -ried storeyried
storm -y stormy
straggle -er straggler
straggle -ling straggling
straight -en straighten
strain -er strainer
streak -ed streaked
strength -en strengthen
strength -ener strengthener
strength -ening strengthening
string -y stringy
stripe -d striped
structure -ral structural
studious -ness studiousness
stuff -ing stuffing
stumble -ling stumbling
stump -y stumpy
stun -ning stunning
stupefy -ing stupefing
stupid -ity stupidity
style -ish styleish
style -list stylist
suave -vity suavity
subjective -ivity subjectiveivity
sublime -ity sublimity
subordinate -tion subordination
subsist -ence subsistence
substantive -ly substantively
suburb -an suburban
suburb -anite suburbanite
subversion -sive subversionsive
success -ful successful
succint -ness succintness
sucker -king suckerking
sudden -ly suddenly
sudden -ness suddenness
sudoriferous -ic sudoriferousic
suffer -able sufferable
suffer -ance sufferance
suffer -ing suffering
suficient -ly suficiently
suffocate -ting suffocating
suffocate -tion suffocation
suffrage -gette suffragette
sugar -ry sugarry
suggest -ive suggestive
suggest -tion suggesttion
suit -able suitable
suit -ablity suitablity
suit -ableness suitableness
sulk -y sulky
sultan -a sultana
summon -s summons
sun -ny sunny
superabundance -ant superabundanceant
superannuate -ted superannuated
superfluity -uous superfluityuous
superintend -ence superintendence
superintend -ent superintendent
superior -ity superiority
superstition -tious superstitiontious
supervise -sor supervisor
supplement -al supplemental
supplement -ary supplementary
support -able supportable
support -er supporter
suppurate -tion suppuration
suppurate -tive suppurative
supreme -ly supremely
sure -ly surely
surfeit -ed surfeited
surpass -ing surpassing
surprise -sing surprising
surround -ing surrounding
surround -ings surroundings
survey -or surveyor
sustain -ing sustaining
suzerain -ty suzerainty
swaddle -ling swaddling
swagger -er swaggerer
swamp -y swampy
swash -buckler swashbuckler
sweeten -ed sweetened
sweetheart -s. sweethearts.
swelter -ing sweltering
swim -ming swimming
swim -mingly swimmingly
swindle -ler swindler
sylph -like sylphlike
symbol -ic symbolic
symbol -ics symbolics
symphony -nic symphonynic
symphony -nist symphonynist
sympton -atic symptonatic
synchron -ous synchronous
synchron -ism: synchronism:
synchron - synchron
synchron -ize synchronize
synonym -ous synonymous
synonym -y synonymy
synthesis -thetic synthesisthetic
synthesis -thesize synthesisthesize
syphilis -letic syphilisletic
syrup -y syrupy
system -atic systematic
system -atize systematize
system -atizing systematizing
taciturn -ity taciturnity
tact -ful tactful
tact -less tactless
tailor -ess tailoress
talent -ed talented
talk -ative talkative
talk -ativeness talkativeness
tame -er tamer
tame -ness tameness
tan -nery tannery
tantalize -zing tantalizing
taper -ing tapering
tarsus -sal tarsussal
taste -ful tasteful
tattoo -ing tattooing
tax -ation taxation
teach -er teacher
teach -able teachable
technical -ity technicality
technology -gical technologygical
telegraph -ic telegraphic
telegraph -er telegrapher
telegraph -phy telegraphphy
telescope -pic telescopic
tempest -uous tempestuous
tempt -ation temptation
tempt -er tempter
tempt -ing: tempting:
tempt - tempt
tenant -able tenantable
tenant -ry tenantry
tent -ed tented
tepid -ity tepidity
terrify -ing terrifing
testament -ary testamentary
tetrarch -y tetrarchy
text -ual textual
than -ful thanful
than -less thanless
theater -rical theaterrical
theater -ricals theaterricals
therapeutic -s therapeutics
thick -ness thickness
thicken -ing thickening
thievish -ness thievishness
thirst -y thirsty
thorn -y thorny
thorough -ly thoroughly
thorough -ness thoroughness
thought -ful thoughtful
thought -less thoughtless
thousand -fold thousandfold
thousand -th thousandth
thrash -er thrasher
threat -en threaten
threat -ening threatening
thrift -less thriftless
thrift -ty thriftty
thrill -ing thrilling
thrive -ving thriving
throb -bing throbbing
throng -ed thronged
tickle -ing tickling
tickle -ish tickleish
tiger -ish tigerish
timid -ity timidity
tire -ed tired
title -led titled
toady -ism toadism
toast -ing toasting
ton -nage tonnage
topographer -phical topographerphical
topographer -phy topographerphy
torpid -ity torpidity
torrent -ial torrential
total -ity totality
totter -ing tottering
totter -y tottery
trachea -l tracheal
-ist -ist -istist
tradition -al traditional
tradition -alist traditionalist
traduce -cer traducer
traitor -ous traitorous
tranquil -ity tranquility
tranquil -ize tranquilize
transact -ion transaction
transcendent -al transcendental
transform -er transformer
transgress -or transgressor
transgress -ion transgression
transit -ion transition
transit -ive transitive
transit -ory transitory
translate -tion translation
transmigrate -tion transmigration
transmit -ter transmitter
transmute -tation transmutation
transubstantiate -tion transubstantiation
trash -y trashy
travel -s travels
travel -led travelled
travel -ling travelling
trawl -er trawler
treason -able treasonable
trepan -ning trepanning
tress -ed tressed
triplet -s triplets
trite -ness triteness
triumph -al triumphal
triumph -ant triumphant
trivial -ity triviality
troop -s troops
tropic -s tropics
trumpet -er trumpeter
truncate -d truncated
trustee -ship trusteeship
truth -ful truthful
try -ing tring
tryst -ing trysting
tumult -uous tumultuous
tune -r tuner
turret -ed turreted
twist -ed twisted
typewrite -r typewriter
typical -ness typicalness
Tzar -ina Tzarina
ugly -liness uglyliness
ulcer -ate ulcerate
ulcer -ation ulceration
ulcer -ated ulcerated
ulcer -ous ulcerous
ultimate -ly ultimately
ultramontane -nist ultramontanist
ultramontane -nism ultramontanism
umbilic -us umbilicus
unanimity -mous unanimitymous
unbend -ing unbending
uncertain -ty uncertainty
unclothe -d unclothed
underlay -er underlayer
understand -able understandable
underwrite -r underwriter
undress -ed undressed
undue -ly unduely
undulate -ation undulatation
undulated -ting undulatedting
undulated -tory undulatedtory
uniform -ity uniformity
unitarian -ism unitarianism
universal -ity universality
universal -ism universalism
universal -ist universalist
university -man universityman
university -degree universitydegree
unkind -ness unkindness
unlike -ly unlikely
unlike -lihood unlikelihood
unlike -ness unlikeness
unlock -ed unlocked
untruth -ful untruthful
upholster -er upholsterer
uproar -ous uproarous
urbane -nity urbanity
useful -ness usefulness
usurp -ation usurpation
usurp -er usurper
utilitarian -ism utilitarianism
utopia -n utopian
uxurious -ness uxuriousness
vacillate -ting vacillating
vagina -l vaginal
vain -ness vainness
valid -ate validate
valid -ity validity
valo -ous valoous
vandal -ism vandalism
vanish -ing vanishing
vanish -ed vanished
vapo -izer vapoizer
various -ly variously
vary -ing varing
vassal -age vassalage
vast -ly vastly
vast -ness vastness
vault -ed vaulted
vegetarian -ism vegetarianism
vehemence -ment vehemencement
vein -ed veined
venal -ity venality
vend -or vendor
vend -ible vendible
veneer -ing veneering
vengeful -ness vengefulness
venial -ity veniality
venom -ed venomed
ventilate -tion ventilation
ventriloquism -quist ventriloquismquist
ventriloquism -quize ventriloquismquize
verbal -ly verbally
verbal -ize verbalize
verbose -sity verbosity
vermin -ous verminous
vertebra -l vertebral
vertebra -l vertebral
vertebra -te vertebrate
vertebra -ta vertebrata
vertical -ness verticalness
veterinary -surgeon veterinarysurgeon
vex -ation vexation
vex -atious vexatious
vex -ed vexed
vibrate -tion vibration
vibrate -tory vibratory
vicar -age vicarage
victim -ize victimize
victor -ious victorious
victor -y victory
victual -ler victualler
vigo -ous vigoous
vile -ness vileness
village -r. villager.
villain -ous villainous
villain -y villainy
vindicate -tion vindication
violin -ist violinist
viper -ous viperous
virgin -al virginal
virgin -ity virginity
virtual -ity virtuality
virtue -less virtueless
virtuous -ness virtuousness
virulence -lent virulencelent
viscera -l visceral
viscid -ity viscidity
viscount -ship viscountship
vision -ary visionary
visit -ing visiting
visit -ing visiting
vital -ity vitality
vituperate -tive vituperative
vivisect -ion vivisection
vixen -ish vixenish
voice -less voiceless
volatile -lity volatility
volatile -lize volatilize
volt -age voltage
volt -meter voltmeter
voluntary -riness voluntaryriness
voluntary -rily voluntaryrily
voluptuous -ness voluptuousness
volute -d voluted
voyage -r voyager
vulture -rine vulturine
wag -er wager
wakeful -ness wakefulness
walk -er walker
wall -ed walled
wander -er wanderer
warm -th warmth
warn -ing warning
wart -y warty
wash -er washer
waste -ed wasted
watering -pot wateringpot
weak -ness weakness
weaken -ing weakening
wealth -y wealthy
wear -able wearable
wear -ing wearing
weave -r weaver
weave -ing weaving
wed -ding wedding
weed -y weedy
weigh -ing weighing
west -erly westerly
wharf -age wharfage
wharf -inger wharfinger
wheat -en wheaten
wheedle -ling wheedling
wheeze -zing wheezing
whine -ning whining
whisper -ing whispering
white -ness whiteness
white -en whiten
white -ish whiteish
whither -soever whithersoever
Whitsunday -tide Whitsundaytide
who -ever whoever
wholesale -r wholesaler
wholesome -ness wholesomeness
whom -soever whomsoever
whore -monger whoremonger
wicked -ness wickedness
widow -ed widowed
widow -er widower
widow -hood widowhood
wife -ly wifely
willing -ness willingness
wing -ed winged
wink -ing winking
winning -s winnings
winter -try wintertry
wipe -r wiper
withdraw -al withdrawal
wither -ing withering
wolf -ish wolfish
wonder -ful wonderful
wonder -ment wonderment
wont -ed wonted
woo -ing wooing
work -able workable
worship -ful worshipful
worship -per worshipper
wrath -ful wrathful
wreck -age wreckage
wreck -er wrecker
wrestle -r wrestler
wretch -ed wretched
wretch -edness wretchedness
wring -ing wringing
wrinkle -d wrinkled
yacht -ing yachting
yeast -y yeasty
young -ster youngster
youth -ful youthful
youth -fulness youthfulness
zeal -ous zealous
zoology -gist zoologygist
zoology -gical zoologygical
